Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Will Sesay,1,2,0,16,24,66.7,1,5,20.0,3,3,100.0,2,4,2,3,0,1,36,6.0,2.0,3.0,1.0,36.0
Elijah Mensah,1,0,0,13,25,52.0,3,10,30.0,1,3,33.3,6,3,3,0,1,0,30,9.0,3.0,0.0,0.0,30.0
Aka Ebubechukwu,1,0,0,12,22,54.5,6,13,46.2,0,3,0.0,5,0,1,0,3,0,30,5.0,1.0,0.0,0.0,30.0
Samuel Bereketab,11,20,0,121,267,45.3,59,146,40.4,22,31,71.0,65,27,25,19,29,5,323,8.4,2.3,1.7,0.5,29.4
Noah Kankam,8,8,0,89,174,51.1,24,65,36.9,25,38,65.8,63,36,35,30,23,3,227,12.4,4.4,3.8,0.4,28.4
Micah Willms,11,61,0,106,261,40.6,25,92,27.2,62,102,60.8,40,34,31,27,42,5,300,6.7,2.8,2.5,0.5,27.3
Elliot Unger,1,0,0,13,18,72.2,1,3,33.3,0,0,0.0,12,2,3,1,0,0,27,14.0,3.0,1.0,0.0,27.0
Andrei Sansano,1,3,1,9,18,50.0,2,4,50.0,6,6,100.0,6,2,0,0,2,0,26,8.0,0.0,0.0,0.0,26.0
Geilon Betances,8,13,0,81,185,43.8,14,67,20.9,31,45,68.9,53,34,11,14,19,6,207,10.9,1.4,1.8,0.8,25.9
Jax Chammartin,10,4,0,100,221,45.2,31,86,36.0,25,42,59.5,34,16,42,13,23,0,256,5.0,4.2,1.3,0.0,25.6
Kyshawn Ramnauth,10,9,0,108,209,51.7,19,84,22.6,18,25,72.0,33,12,57,25,36,2,253,4.5,5.7,2.5,0.2,25.3
Ray Alcovoz,1,3,0,8,15,53.3,6,12,50.0,3,3,100.0,2,1,0,0,1,0,25,3.0,0.0,0.0,0.0,25.0
Seth Puddicombe,9,14,0,79,199,39.7,53,140,37.9,13,16,81.3,75,5,48,8,36,0,222,8.9,5.3,0.9,0.0,24.7
Daniel Westerlund,10,13,0,106,191,55.5,4,35,11.4,30,47,63.8,86,50,16,19,28,26,245,13.6,1.6,1.9,2.6,24.5
Daniel Cantin,11,15,0,103,294,35.0,39,158,24.7,23,41,56.1,104,20,31,13,16,24,268,11.3,2.8,1.2,2.2,24.4
Jalen Millan,11,22,1,102,198,51.5,31,80,38.8,34,42,81.0,60,6,50,34,9,1,267,6.0,4.5,3.1,0.1,24.3
Gil Carroll,18,33,0,161,407,39.6,77,205,37.6,34,52,65.4,107,25,54,34,33,3,433,7.3,3.0,1.9,0.2,24.1
Sonny Sylvester,17,12,2,151,277,54.5,82,171,48.0,16,23,69.6,56,28,36,15,22,0,400,4.9,2.1,0.9,0.0,23.5
Jonathan Strempler,10,22,1,94,198,47.5,21,76,27.6,21,33,63.6,58,34,11,28,15,3,230,9.2,1.1,2.8,0.3,23.0
Seth McKenzie,2,3,0,14,29,48.3,9,21,42.9,9,10,90.0,8,5,8,4,3,0,46,6.5,4.0,2.0,0.0,23.0
Wyatt Tait,9,12,0,73,140,52.1,18,56,32.1,40,58,69.0,88,36,30,23,19,19,204,13.8,3.3,2.6,2.1,22.7
Jamar Farley,7,15,2,55,179,30.7,39,134,29.1,9,20,45.0,32,3,26,24,24,1,158,5.0,3.7,3.4,0.1,22.6
Alden Sansano,6,1,0,55,97,56.7,14,41,34.1,9,11,81.8,18,6,12,7,7,0,133,4.0,2.0,1.2,0.0,22.2
Kevlin Asiedu,13,38,0,116,216,53.7,31,77,40.3,24,50,48.0,93,53,30,26,31,23,287,11.2,2.3,2.0,1.8,22.1
Edgerren Capuno,7,22,1,64,136,47.1,7,27,25.9,20,30,66.7,39,19,18,24,19,3,155,8.3,2.6,3.4,0.4,22.1
Jonar Huertas,1,0,0,11,17,64.7,0,5,0.0,0,1,0.0,1,0,1,1,0,0,22,1.0,1.0,1.0,0.0,22.0
Marcus Foreman,8,13,0,64,169,37.9,23,72,31.9,25,34,73.5,60,19,11,7,17,6,176,9.9,1.4,0.9,0.8,22.0
Lucas Meyer,1,3,0,10,23,43.5,1,6,16.7,1,1,100.0,7,5,4,0,2,1,22,12.0,4.0,0.0,1.0,22.0
Favour Ugbah,1,2,0,8,22,36.4,3,11,27.3,3,5,60.0,11,3,4,4,2,1,22,14.0,4.0,4.0,1.0,22.0
Adam Murdock,11,20,0,95,173,54.9,22,63,34.9,29,36,80.6,86,39,16,10,21,23,241,11.4,1.5,0.9,2.1,21.9
Tito Obasoto,8,16,0,69,140,49.3,21,54,38.9,14,16,87.5,49,21,38,16,16,1,173,8.8,4.8,2.0,0.1,21.6
Matthew Frederiksen,9,16,0,86,176,48.9,11,22,50.0,8,18,44.4,66,20,25,8,34,10,191,9.6,2.8,0.9,1.1,21.2
Inderpal Grewal,10,19,0,86,179,48.0,12,39,30.8,27,44,61.4,81,35,34,26,21,6,211,11.6,3.4,2.6,0.6,21.1
EJ Hernandez,1,1,0,7,13,53.8,5,9,55.6,1,2,50.0,3,1,1,1,1,0,21,4.0,1.0,1.0,0.0,21.0
Gee-ef Nkwonta,9,9,0,80,163,49.1,19,57,33.3,9,11,81.8,33,15,38,9,11,1,188,5.3,4.2,1.0,0.1,20.9
Elson Bocalan,9,13,1,74,123,60.2,1,9,11.1,37,71,52.1,51,35,21,17,20,1,188,9.6,2.3,1.9,0.1,20.9
Rhys DeGrave,9,16,0,88,155,56.8,1,2,50.0,11,34,32.4,92,74,14,15,18,11,188,18.4,1.6,1.7,1.2,20.9
Liam Haime,11,8,0,92,189,48.7,25,68,36.8,20,28,71.4,121,45,46,9,24,5,229,15.1,4.2,0.8,0.5,20.8
Vick Chahal,6,3,0,46,118,39.0,26,76,34.2,5,9,55.6,17,9,15,9,11,1,123,4.3,2.5,1.5,0.2,20.5
Jackson Gilmore,11,25,0,105,196,53.6,0,5,0.0,12,36,33.3,121,108,16,11,27,29,222,20.8,1.5,1.0,2.6,20.2
Victor Bell,6,13,0,53,108,49.1,2,16,12.5,13,17,76.5,38,19,18,12,14,1,121,9.5,3.0,2.0,0.2,20.2
Rashawn Browne,10,7,1,71,167,42.5,26,92,28.3,32,38,84.2,57,13,109,19,39,5,200,7.0,10.9,1.9,0.5,20.0
Eduard Kitselo,6,3,0,42,122,34.4,26,90,28.9,8,14,57.1,41,10,11,15,14,5,118,8.5,1.8,2.5,0.8,19.7
Karl de Sagun,14,7,0,97,298,32.6,40,155,25.8,39,48,81.3,65,25,42,33,27,3,274,6.4,3.0,2.4,0.2,19.6
Michael Lawal,7,7,0,52,123,42.3,25,73,34.2,7,13,53.8,19,5,7,5,25,2,136,3.4,1.0,0.7,0.3,19.4
Kniel Francis Sullera,9,12,0,67,140,47.9,25,61,41.0,14,20,70.0,41,23,24,8,11,1,174,7.1,2.7,0.9,0.1,19.3
Reuben Francois-Saint-Cyr,10,19,1,79,249,31.7,20,76,26.3,13,32,40.6,60,11,18,24,32,14,191,7.1,1.8,2.4,1.4,19.1
George Fedorchuk,9,28,0,68,167,40.7,21,73,28.8,14,25,56.0,42,20,19,14,21,6,171,6.9,2.1,1.6,0.7,19.0
Nico Longarela,1,1,0,7,18,38.9,5,11,45.5,0,0,0.0,4,2,4,2,3,0,19,6.0,4.0,2.0,0.0,19.0
Tyson Jensen,7,8,0,53,122,43.4,16,45,35.6,11,17,64.7,37,4,12,8,11,1,133,5.9,1.7,1.1,0.1,19.0
Jaxon Rose,7,7,1,58,95,61.1,2,13,15.4,15,28,53.6,71,38,11,6,7,7,133,15.6,1.6,0.9,1.0,19.0
Isaiah Cole,1,3,0,7,17,41.2,1,7,14.3,4,5,80.0,5,2,4,0,3,1,19,7.0,4.0,0.0,1.0,19.0
Jonathan Wolfe,10,6,1,76,191,39.8,12,43,27.9,29,38,76.3,46,23,53,24,36,3,189,6.9,5.3,2.4,0.3,18.9
Kellen Woo,11,5,0,87,195,44.6,22,77,28.6,8,13,61.5,25,5,24,16,43,2,204,2.7,2.2,1.5,0.2,18.5
David King,17,15,0,112,246,45.5,25,84,29.8,65,87,74.7,173,47,64,17,37,2,314,12.9,3.8,1.0,0.1,18.5
Adam Rush,12,34,1,88,219,40.2,16,67,23.9,29,57,50.9,81,81,67,34,32,5,221,13.5,5.6,2.8,0.4,18.4
