Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Matthew Koenig,1,1,0,11,31,35.5,7,21,33.3,3,3,100.0,32,7.0,8.0,3.0,0.0,32.0,,,,,,30
Pacifique Jubilate,1,2,0,15,27,55.6,0,3,0.0,1,1,100.0,31,11.0,3.0,2.0,0.0,31.0,,,,,,30
Justus Alleyn,16,16,5,178,100,47.7,76,182,41.8,52,62,83.9,484,5.8,4.8,1.8,0.4,30.3,,,,,,30
Victor Bell,15,38,0,284,100,68.6,27,98,27.6,34,70,48.6,428,13.7,1.9,1.9,0.4,28.5,,,,,,30
Ryan Wiebe,14,21,1,117,100,32.4,61,234,26.1,100,143,69.9,395,11.1,2.5,0.9,0.2,28.2,,,,,,30
Elijah Lostracco,8,11,2,83,100,45.4,42,105,40.0,10,14,71.4,219,4.4,4.5,1.6,0.0,27.4,,,,,,30
David King,21,29,1,212,100,57.5,31,96,32.3,121,170,71.2,576,14.4,4.3,1.4,0.3,27.4,,,,,,30
Binh Nguyen,18,30,2,174,100,42.6,113,277,40.8,24,38,63.2,486,7.4,4.2,1.7,0.0,27.0,,,,,,30
Wil Haufek,6,8,1,64,100,49.6,25,66,37.9,8,14,57.1,161,3.8,1.0,1.0,0.0,26.8,,,,,,30
Joseph Ponce-Medrano,22,19,1,230,100,47.3,67,185,36.2,63,78,80.8,590,5.9,2.0,1.2,0.3,26.8,,,,,,30
Brett Carter,20,21,2,220,100,47.7,19,90,21.1,65,99,65.7,523,12.0,1.7,2.3,0.1,26.2,,,,,,30
Chris Benevides,1,0,0,11,17,64.7,4,6,66.7,0,0,0.0,26,2.0,3.0,1.0,0.0,26.0,,,,,,30
Unknown Player,1,1,0,10,16,62.5,5,9,55.6,1,3,33.3,26,4.0,1.0,0.0,0.0,26.0,,,,,,30
Don Dayrit,15,15,0,142,100,47.5,57,164,34.8,47,55,85.5,388,4.3,4.2,2.8,0.2,25.9,,,,,,30
Geilon Betances,19,47,0,178,100,43.2,50,157,31.8,79,106,74.5,485,12.7,1.1,1.5,0.8,25.5,,,,,,30
Aaron Woo,19,28,1,187,100,44.8,53,183,29.0,52,86,60.5,478,6.9,1.5,1.6,0.0,25.2,,,,,,30
Marcus Morgan,22,43,0,223,100,45.3,82,237,34.6,23,29,79.3,554,4.8,1.5,2.2,1.1,25.2,,,,,,30
Amarjit Basi,1,2,1,10,24,41.7,1,8,12.5,4,4,100.0,25,4.0,5.0,0.0,0.0,25.0,,,,,,30
Kwinton Cochrane,1,1,0,11,21,52.4,1,4,25.0,2,3,66.7,25,7.0,1.0,0.0,1.0,25.0,,,,,,30
