Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Jaharqa Metaxas,7,8,0,112,204,54.9,22,56,39.3,14,16,87.5,5.9,4.7,2.1,0.0,37.1,,,,,,,
Jayden Westerlund,1,3,0,13,25,52.0,3,11,27.3,4,4,100.0,9.0,1.0,3.0,2.0,33.0,,,,,,,
Jaired Garing,9,21,0,104,214,48.6,21,64,32.8,28,34,82.4,11.7,7.6,4.9,0.0,28.6,,,,,,,
Geilon Betances,10,10,0,110,240,45.8,30,85,35.3,33,42,78.6,12.9,2.3,2.5,1.1,28.3,,,,,,,
Parminder Mangat,9,16,0,101,242,41.7,26,74,35.1,16,19,84.2,8.0,3.8,1.4,0.8,27.1,,,,,,,
Gil Carroll,7,8,0,72,171,42.1,19,67,28.4,27,31,87.1,8.6,3.1,1.4,0.3,27.1,,,,,,,
Tim Francisco,11,14,0,115,264,43.6,27,102,26.5,36,48,75.0,6.9,3.6,1.6,0.1,26.6,,,,,,,
Paul Bocalan,8,5,0,84,157,53.5,7,31,22.6,33,61,54.1,6.9,3.1,1.5,0.6,26.1,,,,,,,
Kamil Tynski,10,14,1,91,261,34.9,33,133,24.8,44,62,71.0,3.6,1.4,1.4,0.3,25.9,,,,,,,
William Benson,7,16,0,74,185,40.0,16,69,23.2,13,25,52.0,16.0,2.3,2.3,1.1,25.3,,,,,,,
David King,9,13,1,82,180,45.6,16,52,30.8,39,52,75.0,13.0,3.7,1.0,0.0,24.4,,,,,,,
Dallas Richard,13,18,2,129,246,52.4,21,61,34.4,22,27,81.5,10.5,3.8,1.1,0.9,23.2,,,,,,,
Izaiah Maple-Stevens,11,7,0,99,189,52.4,33,87,37.9,22,33,66.7,6.3,3.0,1.2,0.3,23.1,,,,,,,
Jamar Farley,8,11,2,65,194,33.5,31,123,25.2,23,35,65.7,7.5,5.3,2.1,0.1,23.0,,,,,,,
Patrick Jordan,1,4,0,9,14,64.3,0,1,0.0,5,6,83.3,15.0,4.0,2.0,2.0,23.0,,,,,,,
Graham Bodnar,2,1,0,18,43,41.9,2,7,28.6,7,9,77.8,12.0,9.0,4.0,0.5,22.5,,,,,,,
Jay Kesson,6,13,3,58,116,50.0,4,14,28.6,13,23,56.5,10.7,1.3,1.3,0.2,22.2,,,,,,,
Kelly Saunders,10,11,0,85,246,34.6,32,125,25.6,19,41,46.3,6.4,2.4,1.7,0.1,22.1,,,,,,,
Terence Ross,2,0,0,20,33,60.6,0,1,0.0,4,7,57.1,7.5,3.0,1.0,0.0,22.0,,,,,,,
Easton Apostle,9,14,0,77,182,42.3,37,107,34.6,7,10,70.0,8.1,2.4,2.4,1.7,22.0,,,,,,,
Mosab Hassain,1,2,0,11,22,50.0,0,7,0.0,0,1,0.0,9.0,4.0,2.0,0.0,22.0,,,,,,,
Pacifique Jubilate,4,7,0,35,76,46.1,0,5,0.0,17,32,53.1,7.0,0.8,2.5,0.0,21.8,,,,,,,
Ezra Leano,7,6,0,61,134,45.5,4,15,26.7,24,42,57.1,12.6,3.0,1.0,1.3,21.4,,,,,,,
Marcus Morgan,6,11,1,51,118,43.2,18,53,34.0,7,12,58.3,7.8,1.8,2.3,1.2,21.2,,,,,,,
Jasmin Kone,5,9,0,46,105,43.8,6,33,18.2,7,11,63.6,10.0,1.6,3.2,1.6,21.0,,,,,,,
Jordan Fotheringham,7,12,1,51,137,37.2,27,80,33.8,17,27,63.0,10.9,3.0,1.4,0.0,20.9,,,,,,,
Dakota Martin,25,16,0,241,424,56.8,5,10,50.0,32,49,65.3,12.9,1.6,0.8,0.6,20.8,,,,,,,
